,Campus Name,Lower Grade,Upper Grade,Grade Range,Map Label,Lower Age,Upper Age,CDS Code,Campus Address,Location 1,Zip Codes,Supervisor District,Neighborhoods (old),Fire Prevention Districts,Police Districts,Supervisor Districts,CCSF Entity_Private,CCSF Entity_SFCCD,CCSF Entity_SFUSD,Category_Community College District,Category_Independent / Private,Category_USD Charter School,Category_USD Charter School; PreK-5,Category_USD County School,Category_USD Grades 6-12,Category_USD Grades 6-8,Category_USD Grades 9-12,Category_USD Grades K-4,Category_USD Grades K-5,"Category_USD Grades K-5, PreK-5",Category_USD Grades K-8,Category_USD Grades PK-8,Category_USD PreK,"Category_USD PreK, Grades K-5",Category_USD PreK-4,"Category_USD PreK-4, Grades K-5",Category_USD PreK-5,Category_USD PreK-5                                   ,"Category_USD PreK-5, Grades K-5",Category_USD PreK-8,Category_USD PreK/TK,Category_USD PreK/TK-4,Category_USD PreK/TK-5,General Type_CC,General Type_CDC,General Type_IND,General Type_PS
67,Centro Las Olas - Centro De Desarrollo Infantil,-2,-1,PK,CDC011,3,4,384001625.0,"3737 26TH ST, SAN FRANCISCO, CA 94110","CA
(37.748364, -122.424049)",28859,8,19,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,Cornerstone Academy,0,5,K-5,IND233,5,10,38684786903165.0,"801 SILVER AVE, SAN FRANCISCO, CA 94134","CA
(37.729584, -122.418327)",309,9,28,9.0,3.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Claire Lilienthal Alternative School - Madison Campus,0,2,K-2,IND228,5,7,384000539.0,"3950 SACRAMENTO ST, SAN FRANCISCO, CA 94118","CA
(37.78722, -122.458076)",54,2,31,11.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Childrens After School Arts,0,6,K-6,IND225,5,11,384000345.0,"584 CASTRO ST STE 264, SAN FRANCISCO, CA 94114","CA
(37.75959, -122.435242)",28862,8,3,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,Congregation Beth Sholom Family Preschool,-2,-1,PK,CDC017,3,4,384000303.0,"301 14TH AVE, SAN FRANCISCO, CA 94118","CA
(37.782387, -122.473381)",54,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,"Parker, Jean Parker Out-Of-School (OST) / Early Education",0,5,K-5,PS088,5,10,38684786041206.0,"840 BROADWAY, San Francisco, CA 94133","CA
(37.797619, -122.411041)",308,3,4,3.0,1.0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Happy Day Preschool,-2,-1,PK,CDC051,3,4,384001687.0,"809 TARAVAL ST, SAN FRANCISCO, CA 94116","CA
(37.742836, -122.474892)",29491,7,40,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,Spring Valley Elementary / Early Education,0,5,K-5,PS108,5,10,38684786041594.0,"1451 JACKSON ST, San Francisco, CA 94109","CA
(37.794006, -122.418816)",28858,3,32,5.0,1.0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Mission Neighborhood Centers - 24Th St Head Start,-2,-1,PK,CDC097,3,4,380504876.0,"3013 24TH ST, SAN FRANCISCO, CA 94110","CA
(37.752457, -122.412224)",28859,9,19,2.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,Yick Wo Elementary School,0,5,K-5,PS126,5,10,38684786041131.0,"2245 JONES ST, SAN FRANCISCO, CA 94133","CA
(37.80196, -122.416611)",308,3,32,5.0,1.0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Russian Hill School,-2,-1,PK,CDC129,3,4,384001346.0,"2026 DIVISADERO ST, SAN FRANCISCO, CA 94115","CA
(37.788521, -122.440193)",29490,2,27,13.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,San Francisco Public Montessori,-2,5,PK-5,IND318,3,10,38684780123117.0,"2340 JACKSON ST, SAN FRANCISCO, CA 94115","CA
(37.792866, -122.433601)",29490,2,27,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,Hergl School,0,12,K-12,IND249,5,17,38684786914550.0,"1570 GREENWICH ST, SAN FRANCISCO, CA 94123","CA
(37.800377, -122.42572)",57,2,17,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,Friends Of Saint Francis Child Care Center,-2,-1,PK,CDC041,3,4,380504229.0,"50 BELCHER ST, SAN FRANCISCO, CA 94114","CA
(37.768589, -122.430344)",28862,8,3,7.0,9.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,"Chin, John Yehall Chin Elementary School",0,5,K-5,PS016,5,10,38684786113252.0,"350 BROADWAY, San Francisco, CA 94133","CA
(37.798611, -122.403221)",308,3,23,3.0,1.0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Valdivia Family Day Care,-2,-1,PK,CDC153,3,4,,"1227 HAMPSHIRE ST APT 43, SAN FRANCISCO, CA 94110","CA
(37.752579, -122.406807)",28859,9,19,10.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,Cornerstone Academy,6,12,6-12,IND232,11,17,38684786133763.0,"501 CAMBRIDGE ST, SAN FRANCISCO, CA 94134","CA
(37.724953, -122.416847)",309,9,28,9.0,3.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,Sanchez Elementary School  / Preschool,-2,5,PK-5,PS103,3,10,38684786041545.0,"325 SANCHEZ ST, San Francisco, CA 94114","CA
(37.763454, -122.430359)",28862,8,3,8.0,4.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
85,Nihonmachi Little Friends - Sutter St,-2,-1,PK,CDC114,3,4,380504776.0,"1830 SUTTER ST, SAN FRANCISCO, CA 94115","CA
(37.786717, -122.430557)",29490,5,27,13.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,Stuart Hall For Boys,0,8,K-8,IND329,5,13,38684786980759.0,"2222 BROADWAY ST, SAN FRANCISCO, CA 94115","CA
(37.794617, -122.434288)",29490,2,27,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,Bais Menachem Yeshiva Day School,0,8,K-8,IND212,5,13,,"834 28TH AVE, SAN FRANCISCO, CA 94121","CA
(37.773613, -122.487152)",55,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,Little Angels Daycare,-2,-1,PK,CDC074,3,4,,"2135 OCEAN AVE, SAN FRANCISCO, CA 94127","CA
(37.726673, -122.466423)",59,7,40,9.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Amici World School,1,6,1-6,IND210,6,11,,"3627 BRODERICK ST, SAN FRANCISCO, CA 94123","CA
(37.803875, -122.445717)",57,2,17,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,"Burton, Phillip And Sala Burton High School",9,12,9-12,PS011,14,17,38684783830254.0,"400 MANSELL ST, San Francisco, CA 94134","CA
(37.721546, -122.406555)",309,9,28,10.0,3.0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,City College of San Francisco Civic Center,13,14,13-14,CC02,18,19,,"1170 MARKET ST, SAN FRANCISCO, CA 94102","CA
(37.779545, -122.414299)",28852,6,36,7.0,10.0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,"Washington, George Washington High School",9,12,9-12,PS121,14,17,38684783839081.0,"600 32ND AVE, San Francisco, CA 94121","CA
(37.777905, -122.491013)",55,1,26,11.0,6.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,Big City Montessori School,-2,0,PK-K,IND215,3,5,380503028.0,"240 INDUSTRIAL ST, SAN FRANCISCO, CA 94124","CA
(37.738655, -122.405312)",58,10,1,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,Buena Vista / Horace Mann,0,8,K-8,PS010,5,13,38684786062046.0,"3351 23RD ST, San Francisco, CA 94110","CA
(37.753033, -122.420181)",28859,9,19,2.0,4.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,Alta Plaza Preschool,-2,-1,PK,CDC002,3,4,384000037.0,"2140 PIERCE ST, SAN FRANCISCO, CA 94115","CA
(37.790203, -122.437195)",29490,2,27,13.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,Glenridge Cooperative Nursery School,-2,-1,PK,CDC044,3,4,380500240.0,"70 ELK ST, SAN FRANCISCO, CA 94131","CA
(37.736191, -122.440033)",63,8,7,2.0,7.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,Guadalupe Elementary School,-2,5,PK-5,PS042,3,10,38684786041123.0,"859 PRAGUE ST, San Francisco, CA 94112","CA
(37.710182, -122.434029)",28861,11,5,9.0,7.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,Telegraph Hill Neighborhood Center Child Development Preschool,-2,-1,PK,CDC145,3,4,380504793.0,"660 LOMBARD ST, SAN FRANCISCO, CA 94133","CA
(37.803444, -122.412537)",308,3,23,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,"Cobb, Dr. William L. Cobb Elementary School / Preschool",-2,5,PK-5,PS022,3,10,38684786040968.0,"2725 CALIFORNIA ST, San Francisco, CA 94115","CA
(37.787678, -122.439552)",29490,2,27,13.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100,Alamo Elementary School,0,5,K-5,PS001,5,10,38684786040695.0,"250 23RD AVE, San Francisco, CA 94121","CA
(37.783005, -122.4823)",55,1,26,11.0,6.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,Pacific Primary - Yellow Sun School,-2,-1,PK,CDC119,3,4,380500491.0,"1500 GROVE ST, SAN FRANCISCO, CA 94117","CA
(37.775658, -122.441734)",29492,5,16,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,"Stockton, Commodore Stockton Early Education School",-2,4,PK-4,PS110,3,9,38684780117465.0,"1 TRENTON ST, San Francisco, CA 94108","CA
(37.795082, -122.40908)",28857,3,4,3.0,1.0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,Kai Ming Head Start - Sunset Center,-2,-1,PK,CDC064,3,4,384001393.0,"2800 TARAVAL ST, SAN FRANCISCO, CA 94116","CA
(37.742394, -122.496277)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,Kai Ming Head Start - Tkl Center (Dr T Kong Lee),-2,-1,PK,CDC065,3,4,380505563.0,"952 POWELL ST, SAN FRANCISCO, CA 94108","CA
(37.79372, -122.409294)",28857,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,Glen Park Elementary School,0,5,K-5,PS040,5,10,38684786041073.0,"151 LIPPARD AVE, San Francisco, CA 94131","CA
(37.733131, -122.435623)",63,8,40,9.0,7.0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,Economic Opportunity Council Sf - Sojourner Truth Childcare,-2,-1,PK,CDC033,3,4,380504346.0,"1 CASHMERE ST, SAN FRANCISCO, CA 94124","CA
(37.735832, -122.381874)",58,10,1,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,"Stevenson, Robert Louis Stevenson Elementary School",0,5,K-5,PS109,5,10,38684786041529.0,"2051 34TH AVE, San Francisco, CA 94116","CA
(37.748844, -122.49276)",29491,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,Bright Horizons - Kansas St,-2,4,PK-4,IND218,3,9,384002477.0,"200 KANSAS ST, SAN FRANCISCO, CA 94103","CA
(37.766731, -122.404213)",28853,10,20,8.0,2.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,"Taylor, E. R. Taylor Elementary School / Preschool",-2,5,PK-5,PS114,3,10,38684786040943.0,"423 BURROWS ST, San Francisco, CA 94134","CA
(37.727329, -122.40731)",309,9,28,10.0,3.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Second Community Child Care Center,0,5,K-5,IND325,5,10,380505027.0,"500 CLARENDON AVE, SAN FRANCISCO, CA 94131","CA
(37.753712, -122.456131)",63,7,12,1.0,5.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,"Ortega, Jose Ortega Elementary School",0,5,K-5,PS087,5,10,38684786041271.0,"400 SARGENT ST, San Francisco, CA 94132","CA
(37.716782, -122.466675)",64,11,24,9.0,8.0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,Redding Elementary / Early Education,0,5,K-5,PS093,5,10,38684786041511.0,"1421 PINE ST, San Francisco, CA 94109","CA
(37.78952, -122.41925)",28858,3,21,13.0,9.0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,Scandanavian School,-2,-1,PK,CDC134,3,4,384001418.0,"20 WOODSIDE AVE, SAN FRANCISCO, CA 94127","CA
(37.746582, -122.457878)",59,7,40,1.0,5.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,Wind In The Willows Early Learning Center,-2,-1,PK,CDC155,3,4,384000832.0,"713 MONTEREY BLVD, SAN FRANCISCO, CA 94127","CA
(37.731258, -122.451462)",59,7,40,9.0,7.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,Telegraph Hill Parent Participation Nursery School,-2,-1,PK,CDC146,3,4,384002580.0,"922 JACKSON ST, SAN FRANCISCO, CA 94133","CA
(37.795681, -122.410377)",308,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,Rocky Mountain Participation Nursery School,-2,-1,PK,CDC127,3,4,380504057.0,"2475 15TH ST, SAN FRANCISCO, CA 94114","CA
(37.74184, -122.471603)",29491,7,40,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,Moldovan Academy,-2,0,PK-K,IND275,3,5,384002294.0,"1270 SANCHEZ ST, SAN FRANCISCO, CA 94114","CA
(37.748898, -122.42968)",28862,8,22,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,Ucsf - Parnassus-Kirkham Child Development Center,-2,-1,PK,CDC150,3,4,384001814.0,"10 KIRKHAM ST, SAN FRANCISCO, CA 94143","CA
(37.761524, -122.461166)",56,5,12,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,Saint Nicholas Day Care And Preschool,-2,-1,PK,CDC132,3,4,380504369.0,"5200 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131","CA
(37.744923, -122.440422)",63,8,7,2.0,7.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,International Studies Academy,6,12,6-12,PS050,11,17,38684783830353.0,"655 DE HARO ST, SAN FRANCISCO CA 94107","CA
(37.761704, -122.400688)",28856,10,29,10.0,3.0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,Everett Middle School,6,8,6-8,PS029,11,13,38684786062038.0,"450 CHURCH ST, San Francisco, CA 94114","CA
(37.763577, -122.429367)",28862,8,3,8.0,4.0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,My Little Learning Tree,-2,-1,PK,CDC111,3,4,384002056.0,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121","CA
(37.782394, -122.482086)",55,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,San Francisco Waldorf High School,9,12,9-12,IND322,14,17,,"470 WEST PORTAL AVE, SAN FRANCISCO, CA 94127","CA
(37.736015, -122.471199)",29491,7,40,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,Family School,-2,-1,PK,CDC039,3,4,384000805.0,"3101 MISSION ST, SAN FRANCISCO, CA 94110","CA
(37.747994, -122.418137)",28859,9,2,2.0,7.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,Mission Neighborhood Centers - Edificio De Mujeres / Womens Building,-2,-1,PK,CDC101,3,4,384000867.0,"3543 18TH ST, SAN FRANCISCO, CA 94110","CA
(37.761421, -122.422615)",28859,8,19,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126,Adda Clevenger School,0,8,K-8,IND200,5,13,38684786930572.0,"198 FAIR OAKS ST, SAN FRANCISCO, CA 94110","CA
(37.753738, -122.424461)",28859,8,19,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,Faces Sf Child Development Program - Hayes Valley,-2,-1,PK,CDC038,3,4,384002202.0,"305 BUCHANAN ST, SAN FRANCISCO, CA 94102","CA
(37.772907, -122.428032)",28852,5,10,7.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,Walden Academy,8,12,8-12,IND335,13,17,,"214 HAIGHT ST, SAN FRANCISCO, CA 94102","CA
(37.772942, -122.426147)",28852,5,10,7.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,San Francisco Expeditionary School,3,8,3-8,IND315,8,13,38684786147037.0,"2960 BROADWAY ST, SAN FRANCISCO, CA 94115","CA
(37.793186, -122.445892)",57,2,27,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,Little Childrens Developmental Center,-2,-1,PK,CDC076,3,4,384000818.0,"1223 WEBSTER ST, SAN FRANCISCO, CA 94115","CA
(37.781956, -122.431045)",29490,5,41,15.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,Montessori Childrens Center,-2,-1,PK,CDC107,3,4,384001313.0,"80 JUAN BAUTISTA CIR, SAN FRANCISCO, CA 94132","CA
(37.718266, -122.480911)",64,7,14,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,"Carmichael, Bessie Carmichael K-5 Campus / Early Education",0,8,K-8,PS013,5,13,384001456.0,"375 07TH ST, San Francisco, CA 94103","CA
(37.776382, -122.406456)",28853,6,34,14.0,2.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,Holy Family Day Home,-2,-1,PK,CDC054,3,4,380500308.0,"299 DOLORES ST, SAN FRANCISCO, CA 94103","CA
(37.764992, -122.425796)",28853,8,19,8.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,Saint Gabriel Catholic School,0,8,K-8,IND295,5,13,38684786981765.0,"2550 41ST AVE, SAN FRANCISCO, CA 94116","CA
(37.739563, -122.498634)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,"Lincoln, Abraham Lincoln High School",9,12,9-12,PS067,14,17,38684783833241.0,"2162 24TH AVE, San Francisco, CA 94116","CA
(37.746594, -122.48024)",29491,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,Love And Learn Nursery School,-2,-1,PK,CDC084,3,4,380503540.0,"1419 HOWARD ST, SAN FRANCISCO, CA 94103","CA
(37.77335, -122.414795)",28853,6,34,8.0,2.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,"Havard, Leola M. Havard Early Education School",-2,5,PK-5,PS044,3,10,38684780117564.0,"1520 OAKDALE AVE, SAN FRANCISCO CA 94124","CA
(37.734085, -122.388588)",58,10,1,10.0,3.0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
138,City College of San Francisco Fort Mason Site,13,14,13-14,CC05,18,19,,"2 MARINA BLVD, SAN FRANCISCO, CA 94123","CA
(37.80677, -122.431824)",28858,2,17,13.0,9.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,Chinatown Community Childrens Center,-2,-1,PK,CDC013,3,4,380505035.0,"979 CLAY ST, SAN FRANCISCO, CA 94108","CA
(37.79361, -122.409103)",28857,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,Balboa Preschool,-2,0,PK-K,IND213,3,5,380505671.0,"527 BALBOA ST, SAN FRANCISCO, CA 94118","CA
(37.776932, -122.464477)",54,1,11,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,Marina Childrens Center,-2,-1,PK,CDC093,3,4,384000897.0,"3219 LAGUNA ST, SAN FRANCISCO, CA 94123","CA
(37.800774, -122.431488)",57,2,17,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,"Rodriguez, Zaida T. Rodriguez Early Education School",-2,0,PK-TK,PS095,3,5,380504356.0,"421 BARTLETT ST, San Francisco, CA 94110","CA
(37.749821, -122.418556)",28859,9,19,2.0,4.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
143,Kai Ming Head Start - Geary Center,-2,-1,PK,CDC060,3,4,384001291.0,"6221 GEARY BLVD, SAN FRANCISCO, CA 94121","CA
(37.77972, -122.486191)",55,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,"King, Dr. Martin Luther King Jr. Middle School",6,8,6-8,PS055,11,13,38684786059885.0,"350 GIRARD ST, San Francisco, CA 94134","CA
(37.727741, -122.405807)",309,9,28,10.0,3.0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,San Francisco Christian School,0,12,K-12,IND312,5,17,38684786980692.0,"25 WHITTIER ST, SAN FRANCISCO, CA 94112","CA
(37.710037, -122.447754)",28861,11,5,9.0,7.0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,Cross Cultural Family Center - Bertha E Flemming Center,-2,-1,PK,CDC022,3,4,380504073.0,"1901 OFARRELL ST, SAN FRANCISCO, CA 94115","CA
(37.782711, -122.436233)",29490,5,41,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,Little Bear School,-2,-1,PK,CDC075,3,4,384001397.0,"65 OCEAN AVE, SAN FRANCISCO, CA 94112","CA
(37.723179, -122.438095)",28861,11,25,9.0,7.0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Everyday Magic Child Development Center,-2,-1,PK,CDC036,3,4,380506320.0,"220 MIDDLEFIELD DR, SAN FRANCISCO, CA 94132","CA
(37.730572, -122.485817)",64,7,14,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
