,Campus Name,Lower Grade,Upper Grade,Grade Range,Map Label,Lower Age,Upper Age,CDS Code,Campus Address,Location 1,Zip Codes,Supervisor District,Neighborhoods (old),Fire Prevention Districts,Police Districts,Supervisor Districts,CCSF Entity_Private,CCSF Entity_SFCCD,CCSF Entity_SFUSD,Category_Community College District,Category_Independent / Private,Category_USD Charter School,Category_USD Charter School; PreK-5,Category_USD County School,Category_USD Grades 6-12,Category_USD Grades 6-8,Category_USD Grades 9-12,Category_USD Grades K-4,Category_USD Grades K-5,"Category_USD Grades K-5, PreK-5",Category_USD Grades K-8,Category_USD Grades PK-8,Category_USD PreK,"Category_USD PreK, Grades K-5",Category_USD PreK-4,"Category_USD PreK-4, Grades K-5",Category_USD PreK-5,Category_USD PreK-5                                   ,"Category_USD PreK-5, Grades K-5",Category_USD PreK-8,Category_USD PreK/TK,Category_USD PreK/TK-4,Category_USD PreK/TK-5,General Type_CC,General Type_CDC,General Type_IND,General Type_PS
16,"Flynn, Leonard Flynn Elementary / Early Education",0,5,K-5,PS033,5,10,38684786041347.0,"3125 CESAR CHAVEZ ST, San Francisco, CA 94110","CA
(37.747746, -122.411964)",28859,9,2,2.0,7.0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Hamlin School,0,8,K-8,IND247,5,13,38684786997829.0,"2120 BROADWAY ST, SAN FRANCISCO, CA 94115","CA
(37.7948, -122.432495)",29490,2,27,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Little Star Preschool Too,-2,-1,PK,CDC080,3,4,384000093.0,"1105 QUINTARA ST, SAN FRANCISCO, CA 94116","CA
(37.748341, -122.47757)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Sweet Peas Preschool - West,-2,-1,PK,CDC143,3,4,,"87 MELROSE AVE, SAN FRANCISCO, CA 94131","CA
(37.733597, -122.444008)",63,7,40,9.0,7.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Cross Cultural Family Center - Marcus Garvey Center,-2,-1,PK,CDC023,3,4,380504742.0,"1630 EDDY ST, SAN FRANCISCO, CA 94115","CA
(37.781597, -122.43486)",29490,5,41,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Saint Peters School,0,8,K-8,IND304,5,13,38684786980619.0,"1255 ALABAMA ST, SAN FRANCISCO, CA 94110","CA
(37.751701, -122.410362)",28859,9,19,2.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Saint Monica School,0,8,K-8,IND301,5,13,38684786980585.0,"476 24TH AVE, SAN FRANCISCO, CA 94121","CA
(37.780613, -122.483337)",55,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,City College of San Francisco John Adams Center,13,14,13-14,CC07,18,19,,"1860 HAYES ST, SAN FRANCISCO, CA 94117","CA
(37.774086, -122.447189)",29492,5,16,15.0,5.0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,Bright Horizons - Letterman Digital Arts Child Care Center,-2,4,PK-4,IND219,3,9,384001491.0,"1 LETTERMAN DR BLDG B, SAN FRANCISCO, CA 94129","CA
(37.799175, -122.4505)",61,2,30,11.0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,West Portal Elementary School,0,5,K-5,PS125,5,10,38684786041727.0,"5 LENOX WAY, San Francisco, CA 94127","CA
(37.742874, -122.464348)",59,7,40,1.0,8.0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,"Lau, Gordon J. Lau Elementary / Preschool",-2,5,PK-5,PS061,3,10,38684786040877.0,"950 CLAY ST, San Francisco, CA 94108","CA
(37.794399, -122.408806)",28857,3,4,3.0,1.0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Saint Ignatius College Preparatory,9,12,9-12,IND296,14,17,38684786939722.0,"2001 37TH AVE, SAN FRANCISCO, CA 94116","CA
(37.748863, -122.495819)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Economic Opportunity Council Sf - Western Addition Childcare,-2,-1,PK,CDC034,3,4,380504379.0,"1455 GOLDEN GATE AVE, SAN FRANCISCO, CA 94115","CA
(37.778938, -122.434433)",29490,5,41,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
