,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
38,1990-02-08,,150.3476454293629,11.869806094182824,23.53462603878116,98.0720221606649,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-08 Illinois DuPage
39,1990-02-09,,166.51142061281334,13.256267409470748,23.71309192200558,98.8189415041783,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-09 Illinois DuPage
40,1990-02-10,,170.90445682451264,10.682451253481902,23.771587743732564,99.058495821727,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-10 Illinois DuPage
41,1990-02-11,,171.04568245125344,11.2757660167131,23.7799442896936,99.091922005571,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-11 Illinois DuPage
42,1990-02-12,,160.3565096952908,11.6814404432133,23.337950138504144,97.27146814404428,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-12 Illinois DuPage
43,1990-02-13,,155.44150417827302,10.710306406685232,23.582172701949872,98.28412256267406,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-13 Illinois DuPage
44,1990-02-14,,150.43014084507038,12.461971830985918,23.687323943661987,98.72394366197182,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-14 Illinois DuPage
45,1990-02-15,,156.25490196078425,11.445378151260508,23.686274509803933,98.71148459383753,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-15 Illinois DuPage
46,1990-02-16,,155.5075842696631,12.890449438202245,23.235955056179783,96.84831460674155,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-16 Illinois DuPage
47,1990-02-17,,159.58446327683598,10.644067796610171,23.384180790960443,97.44067796610172,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-17 Illinois DuPage
48,1990-02-18,,146.83171428571413,11.448571428571428,23.60571428571428,98.3714285714286,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-18 Illinois DuPage
49,1990-02-19,,168.52183908045973,11.712643678160916,23.68390804597702,98.7011494252874,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-19 Illinois DuPage
50,1990-02-20,,147.05070422535215,11.380281690140846,23.01408450704223,95.92676056338026,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-20 Illinois DuPage
