o3_AQI,f0_,f1_,f2_,f3_,DayLoc
25.15031315240084,0.0271210855949895,10.835073068893529,16.835073068893536,99.03131524008354,1990-01-01 Alaska Denali 
21.726530612244893,0.023434693877551,10.553061224489792,16.63877551020408,97.87551020408168,1990-01-02 Alaska Denali 
19.85569105691057,0.0214491869918699,10.835365853658535,16.44512195121949,96.74186991869918,1990-01-03 Alaska Denali 
19.184959349593488,0.0207012195121951,11.37601626016259,16.58333333333336,97.5548780487805,1990-01-04 Alaska Denali 
18.8927125506073,0.0203987854251012,10.41902834008097,16.730769230769226,98.42307692307688,1990-01-05 Alaska Denali 
19.721774193548388,0.0212762096774193,10.971774193548384,16.836693548387103,99.03629032258068,1990-01-06 Alaska Denali 
22.17004048582997,0.023910931174089,10.50607287449393,16.84817813765182,99.1072874493927,1990-01-07 Alaska Denali 
21.578838174273866,0.023161825726141,10.877593360995853,16.655601659751024,97.97302904564324,1990-01-08 Alaska Denali 
23.831967213114737,0.0256454918032786,11.131147540983616,16.633196721311464,97.83401639344255,1990-01-09 Alaska Denali 
26.22314049586778,0.0265723140495867,12.533057851239676,16.491735537190088,97.01652892561978,1990-01-10 Arizona Apache
30.9199178644764,0.0310205338809034,11.616016427104729,16.597535934291578,97.6386036960985,1990-01-11 Arizona Apache
25.893223819301834,0.0279199178644764,13.032854209445585,16.59958932238193,97.65092402464064,1990-01-12 Alaska Denali 
26.479423868312768,0.0285925925925925,10.818930041152267,16.763374485596724,98.60905349794234,1990-01-13 Alaska Denali 
25.50721649484534,0.0275505154639175,10.183505154639176,16.719587628865977,98.34845360824742,1990-01-14 Alaska Denali 
21.73155737704917,0.0234569672131147,10.563524590163924,16.747950819672123,98.5184426229508,1990-01-15 Alaska Denali 
22.38336713995941,0.0241460446247464,11.624746450304263,16.588235294117652,97.56997971602436,1990-01-16 Alaska Denali 
22.57200811359028,0.0243894523326571,12.23935091277889,16.393509127789056,96.43204868154156,1990-01-17 Alaska Denali 
21.541922290388545,0.0232351738241308,11.728016359918202,16.529652351738257,97.23312883435575,1990-01-18 Arizona Apache
21.37909836065573,0.0230922131147541,10.264344262295085,16.65983606557376,98.00204918032787,1990-01-19 Arizona Apache
21.90329218106996,0.02359670781893,11.471193415637847,16.85802469135802,99.16460905349795,1990-01-20 Alaska Denali 
25.026859504132226,0.0270578512396694,10.272727272727264,16.743801652892557,98.49793388429758,1990-01-21 Alaska Denali 
24.725971370143164,0.0261840490797546,11.008179959100197,16.674846625766886,98.0920245398772,1990-01-22 Arizona Apache
25.68089430894309,0.0277337398373983,12.420731707317085,16.57926829268292,97.52235772357722,1990-01-23 Arizona Apache
23.793172690763065,0.0256706827309236,11.27510040160643,16.445783132530146,96.7510040160643,1990-01-24 Alaska Denali 
25.175050301810884,0.0270503018108652,13.148893360160963,16.58953722334005,97.58752515090542,1990-01-25 Arizona Apache
26.5,0.0285912698412698,12.230158730158728,16.66865079365079,98.05357142857146,1990-01-26 Alaska Denali 
29.08964143426296,0.0313645418326693,10.24900398406374,16.89043824701198,99.35657370517929,1990-01-27 Alaska Denali 
27.62075848303393,0.0298542914171656,10.40119760479041,16.88822355289422,99.34131736526952,1990-01-28 Alaska Denali 
24.64143426294819,0.0265776892430278,11.38844621513944,16.66533864541832,98.02191235059765,1990-01-29 Alaska Denali 
25.3611111111111,0.0272837301587301,10.00595238095239,16.6547619047619,97.968253968254,1990-01-30 Alaska Denali 
24.31274900398408,0.0262450199203187,11.573705179282864,16.438247011952186,96.70318725099608,1990-01-31 Alaska Denali 
22.495069033530584,0.0242800788954635,11.463510848126232,16.670611439842222,98.0631163708086,1990-02-01 Alaska Denali 
20.36417322834647,0.022,11.297244094488187,16.417322834645695,96.5688976377953,1990-02-02 Alaska Denali 
22.174000000000003,0.0239339999999999,12.334000000000003,16.908000000000005,99.456,1990-02-03 Alaska Denali 
26.98192771084337,0.0291425702811244,12.51004016064257,16.88955823293176,99.34939759036143,1990-02-04 Alaska Denali 
27.27037773359841,0.0294612326043737,10.345924453280327,16.540755467196806,97.2823061630218,1990-02-05 Alaska Denali 
25.389662027833,0.0273638170974154,11.137176938369771,16.646123260437353,97.90059642147112,1990-02-06 Alaska Denali 
28.1811023622047,0.0302204724409449,11.09251968503937,16.51574803149606,97.15551181102356,1990-02-07 Alaska Denali 
28.588582677165363,0.0307992125984251,11.557086614173228,16.631889763779512,97.8307086614173,1990-02-08 Alaska Denali 
26.056974459724927,0.0280471512770137,11.021611001964644,16.697445972495068,98.22396856581544,1990-02-09 Alaska Denali 
28.06772908366533,0.0300896414342629,10.079681274900404,16.80278884462151,98.84262948207176,1990-02-10 Alaska Denali 
30.24346076458752,0.0323299798792756,10.525150905432604,16.87726358148894,99.2776659959758,1990-02-11 Alaska Denali 
31.54960317460318,0.0333650793650793,11.732142857142854,16.569444444444432,97.47023809523816,1990-02-12 Alaska Denali 
30.40518962075848,0.0327185628742515,11.5568862275449,16.610778443113773,97.71457085828344,1990-02-13 Alaska Denali 
26.196392785571145,0.0282665330661322,10.99599198396793,16.408817635270562,96.5250501002004,1990-02-14 Alaska Denali 
24.7114228456914,0.0266993987975952,11.232464929859736,16.557114228456886,97.39478957915834,1990-02-15 Alaska Denali 
27.3,0.029456,13.20199999999999,16.426000000000027,96.62399999999997,1990-02-16 Alaska Denali 
28.613226452905813,0.0308056112224448,10.106212424849708,16.859719438877747,99.1723446893788,1990-02-17 Alaska Denali 
27.473999999999982,0.0295799999999999,10.317999999999993,16.814000000000014,98.90200000000002,1990-02-18 Alaska Denali 
