,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
35,1990-02-05,26.79761904761905,29.47619047619047,1.4047619047619049,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-05 Colorado Denver
36,1990-02-06,29.15469613259669,32.093922651933696,0.6961325966850832,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-06 Colorado Denver
37,1990-02-07,28.19417475728155,31.51456310679612,1.3786407766990292,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-07 Colorado Denver
38,1990-02-08,29.503030303030314,32.43030303030302,1.0,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-08 Colorado Denver
39,1990-02-09,29.189189189189182,32.067567567567565,1.7972972972972971,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-09 Colorado Denver
40,1990-02-10,21.107734806629832,23.2845303867403,0.0552486187845303,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-10 Colorado Denver
41,1990-02-11,26.3108108108108,29.63513513513514,0.8513513513513513,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-11 Colorado Denver
42,1990-02-12,27.8698224852071,30.875739644970416,0.7928994082840237,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-12 Colorado Denver
43,1990-02-13,29.37864077669904,32.47572815533981,1.3786407766990298,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-13 Colorado Denver
44,1990-02-14,24.775757575757584,27.775757575757577,0.8060606060606064,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-14 Colorado Denver
45,1990-02-15,25.643678160919546,28.126436781609197,1.6321839080459772,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-15 Colorado Denver
46,1990-02-16,22.646025878003684,25.09611829944545,0.1275415896487987,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-16 Colorado Denver
47,1990-02-17,25.71052631578948,28.13157894736842,0.8289473684210527,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-17 Colorado Denver
48,1990-02-18,26.61146496815287,29.3375796178344,0.4012738853503185,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-18 Colorado Denver
49,1990-02-19,33.59090909090909,39.23863636363637,1.3409090909090908,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-19 Colorado Denver
50,1990-02-20,31.297872340425528,35.70212765957448,0.9503546099290782,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-20 Colorado Denver
51,1990-02-21,39.89534883720929,47.94186046511629,1.651162790697675,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-21 Colorado Denver
52,1990-02-22,24.599642537980355,27.64432529043785,0.131367292225201,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-22 Colorado Denver
53,1990-02-23,39.03658536585365,48.35365853658537,1.634146341463414,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-23 Colorado Denver
54,1990-02-24,31.90173410404626,37.79190751445087,0.3699421965317921,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-24 Colorado Denver
55,1990-02-25,31.494382022471903,36.88764044943821,0.797752808988764,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-25 Colorado Denver
56,1990-02-26,39.20754716981133,47.57232704402514,0.8867924528301889,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-26 Colorado Denver
57,1990-02-27,41.30864197530863,51.14814814814815,1.6543209876543206,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-27 Colorado Denver
58,1990-02-28,28.570167696381297,32.869373345101536,0.1288614298323035,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-02-28 Colorado Denver
59,1990-03-01,45.15217391304349,55.9891304347826,1.543478260869565,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-01 Colorado Denver
60,1990-03-02,39.57988165680476,47.28994082840234,0.7514792899408287,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-02 Colorado Denver
61,1990-03-03,32.14285714285715,37.52747252747252,0.6923076923076924,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-03 Colorado Denver
62,1990-03-04,25.562913907284774,28.37086092715233,0.4701986754966886,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-04 Colorado Denver
63,1990-03-05,30.51282051282052,35.02564102564103,1.8205128205128205,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-05 Colorado Denver
64,1990-03-06,26.738596491228087,29.557894736842115,0.1359649122807016,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-06 Colorado Denver
65,1990-03-07,31.34782608695652,36.99999999999999,1.5434782608695654,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-07 Colorado Denver
66,1990-03-08,28.727272727272727,32.22727272727275,0.8068181818181818,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-08 Colorado Denver
67,1990-03-09,33.7391304347826,38.51086956521738,1.4565217391304353,1.0,100.0,Colorado,Denver,Denver,Colorado Denver,1990-03-09 Colorado Denver
