o3_AQI,f0_,f1_,f2_,f3_,DayLoc
,731.25,12.0,23.5,98.0,1990-01-01 California
,128.3342857142857,12.642857142857142,7.571428571428571,93.21428571428572,1990-01-02 Ohio
,40.08452631578948,4.336842105263159,2.1789473684210523,98.95789473684208,1990-01-03 Ohio
,75.393,5.02,3.0600000000000005,99.01999999999998,1990-01-04 Ohio
,17.383861671469738,2.628242074927954,1.2795389048991357,99.03458213256478,1990-01-05 California
,727.2,8.8,23.6,98.4,1990-01-06 Ohio
,267.5728571428571,13.214285714285714,9.0,99.14285714285715,1990-01-07 California
,82.31816666666666,0.9666666666666665,2.566666666666668,98.55,1990-01-08 California
,73.41776470588236,0.8705882352941178,2.305882352941177,98.78823529411764,1990-01-09 Louisiana
,392.65,3.3125,8.000000000000002,99.25,1990-01-10 Ohio
,13.24778761061949,1.196902654867257,1.2256637168141595,99.4977876106194,1990-01-11 California
,736.2,10.8,21.0,87.6,1990-01-12 California
,258.2,8.8,23.4,97.6,1990-01-13 Ohio
,301.2,20.4,23.4,97.6,1990-01-14 California
,577.2,14.6,23.4,97.6,1990-01-15 Ohio
,290.2,11.4,23.2,96.8,1990-01-16 California
,7.05508658008658,2.9285714285714284,1.2424242424242418,99.22077922077928,1990-01-17 Illinois
,468.2000000000001,10.6,23.0,96.0,1990-01-18 California
,717.2,12.4,22.8,95.2,1990-01-19 Ohio
,521.2,10.8,23.4,97.6,1990-01-20 Ohio
,173.35937500000003,4.312500000000001,8.000000000000002,99.25,1990-01-21 California
,366.1025000000001,4.9375,8.000000000000002,99.25,1990-01-22 California
,14.307798353909464,0.6255144032921811,1.23045267489712,99.43827160493822,1990-01-23 Florida
,108.46297872340423,2.531914893617021,3.3617021276595755,99.6595744680851,1990-01-24 California
,971.2,12.0,23.0,96.0,1990-01-25 Ohio
,919.4,10.6,23.0,96.0,1990-01-26 Ohio
,620.2,10.8,20.4,85.2,1990-01-27 California
,116.26461538461535,11.153846153846152,7.846153846153848,99.0769230769231,1990-01-28 California
,16.873925925925928,1.189300411522634,1.3950617283950622,99.67901234567896,1990-01-29 California
,260.33875,2.4375,7.9375,99.0,1990-01-30 Ohio
,65.3571052631579,1.7105263157894737,3.947368421052632,99.6842105263158,1990-01-31 California
,269.2,10.0,22.6,94.4,1990-02-01 California
,768.2,11.2,23.4,97.6,1990-02-02 California
,606.2,16.6,23.4,97.6,1990-02-03 California
,15.944795321637434,0.2514619883040936,1.625730994152047,99.80701754385964,1990-02-04 Ohio
,129.69037037037037,1.962962962962964,5.111111111111112,99.40740740740742,1990-02-05 California
,144.67333333333335,2.3333333333333326,4.733333333333334,99.6,1990-02-06 California
,61.5475,0.9333333333333336,2.866666666666668,99.79999999999998,1990-02-07 Ohio
,74.41222222222221,2.259259259259259,5.0740740740740735,99.25925925925928,1990-02-08 California
,636.2,11.4,23.4,97.6,1990-02-09 Ohio
,28.7991061452514,0.3463687150837986,1.6256983240223482,99.93296089385473,1990-02-10 California
,602.2,10.2,23.4,97.6,1990-02-11 California
,465.2000000000001,4.2,23.0,96.0,1990-02-12 California
,36.11527777777778,3.611111111111111,4.111111111111112,99.66666666666669,1990-02-13 Ohio
,58.38526315789476,1.894736842105263,3.921052631578947,99.57894736842108,1990-02-14 California
,56.9949152542373,2.2711864406779663,2.8474576271186445,99.59322033898304,1990-02-15 California
,69.58944444444444,1.0555555555555554,3.018518518518519,99.55555555555556,1990-02-16 Ohio
,161.2,6.8,23.4,97.6,1990-02-17 Ohio
,207.2,13.2,23.6,98.4,1990-02-18 Ohio
,605.2,12.2,23.6,98.4,1990-02-19 Ohio
,666.2,17.4,23.2,96.8,1990-02-20 Ohio
,103.5017391304348,1.0652173913043477,3.4347826086956528,99.7391304347826,1990-02-21 California
,55.014867256637146,0.5575221238938053,1.9557522123893805,99.74336283185838,1990-02-22 California
,319.2407142857144,6.2142857142857135,9.000000000000002,99.14285714285715,1990-02-23 California
,682.2,11.6,23.4,97.6,1990-02-24 California
,640.2,10.6,23.4,97.6,1990-02-25 California
,766.2,7.4,22.8,95.0,1990-02-26 California
,64.09947368421052,2.0000000000000004,3.921052631578948,99.57894736842104,1990-02-27 Ohio
,8.73422330097087,0.3398058252427183,1.5485436893203886,99.96116504854368,1990-02-28 Ohio
,295.2,6.8,22.4,93.4,1990-03-01 California
,394.2,19.0,22.4,93.4,1990-03-02 California
,416.2,4.8,23.4,97.6,1990-03-03 Ohio
,124.2,4.6,23.4,97.6,1990-03-04 Ohio
,25.5965671641791,1.507462686567164,2.686567164179105,99.88059701492536,1990-03-05 Ohio
,23.40463803680981,0.3619631901840489,1.6625766871165644,99.82208588957054,1990-03-06 California
,74.55947368421053,0.9210526315789476,3.947368421052632,99.68421052631578,1990-03-07 Ohio
,362.2,9.2,23.0,96.0,1990-03-08 Ohio
,201.2,7.6,23.0,96.0,1990-03-09 Ohio
,227.4,9.6,23.4,97.6,1990-03-10 California
,262.4,12.2,23.4,97.6,1990-03-11 Ohio
,5.828363273453093,0.0738522954091816,1.2235528942115763,99.97604790419165,1990-03-12 California
,52.57739130434783,0.7608695652173915,3.434782608695653,99.7391304347826,1990-03-13 Ohio
,93.26703703703704,1.703703703703704,5.0740740740740735,99.25925925925928,1990-03-14 California
,557.4,18.2,23.0,96.0,1990-03-15 California
,579.2,10.6,23.0,96.0,1990-03-16 Ohio
,464.2,2.0,23.2,96.8,1990-03-17 Ohio
,18.03258278145696,0.2649006622516555,1.7417218543046369,99.9205298013245,1990-03-18 California
,44.4731818181818,0.6969696969696968,2.712121212121211,99.87878787878788,1990-03-19 Ohio
,97.19447368421052,1.2105263157894737,3.894736842105263,99.47368421052632,1990-03-20 Ohio
,274.4545454545455,2.636363636363636,11.181818181818182,98.90909090909092,1990-03-21 Ohio
,385.2,11.2,23.2,96.8,1990-03-22 California
,241.2,4.8,23.2,96.8,1990-03-23 Ohio
,11.45503102625298,0.0859188544152745,1.2673031026252988,99.97136038186156,1990-03-24 Ohio
,35.75749999999999,1.3,3.800000000000002,99.7,1990-03-25 California
,219.2,9.6,23.4,97.6,1990-03-26 Ohio
,31.07851851851852,1.740740740740741,5.148148148148147,99.55555555555554,1990-03-27 Ohio
,60.37629629629629,1.888888888888889,5.148148148148147,99.55555555555556,1990-03-28 California
,41.565263157894734,1.5438596491228065,2.947368421052632,99.71929824561404,1990-03-29 California
,18.293346938775507,0.4829931972789117,1.7482993197278915,99.86394557823132,1990-03-30 Ohio
,302.4,10.8,23.6,98.4,1990-03-31 Ohio
,265.4,6.0,23.6,98.4,1990-04-01 Ohio
,286.2,10.0,23.6,98.4,1990-04-02 Ohio
,50.84266666666667,0.7333333333333333,2.883333333333334,99.86666666666666,1990-04-03 California
,42.602820512820514,0.6923076923076924,3.8205128205128216,99.48717948717947,1990-04-04 Ohio
,3.949481132075473,0.0833333333333332,1.1776729559748411,99.9874213836478,1990-04-05 Ohio
,187.2,10.4,23.6,98.4,1990-04-06 Ohio
,136.2,5.6,23.6,98.4,1990-04-07 Ohio
,158.2,13.0,23.6,98.4,1990-04-08 Ohio
,59.31592592592592,1.703703703703704,5.185185185185185,99.7037037037037,1990-04-09 Ohio
,272.7545454545455,4.363636363636364,10.909090909090908,97.8181818181818,1990-04-10 Ohio
,20.733858695652163,0.2282608695652174,1.6032608695652175,99.91304347826085,1990-04-11 Ohio
,63.128421052631566,1.0263157894736843,3.5526315789473686,98.02631578947368,1990-04-12 Ohio
,217.2,13.6,21.0,87.6,1990-04-13 California
,163.2,5.8,23.6,98.4,1990-04-14 Ohio
,143.2,12.0,23.6,98.4,1990-04-15 Ohio
,29.96555555555556,1.1111111111111112,5.185185185185185,99.70370370370372,1990-04-16 Ohio
,3.492783999999997,0.0896,1.1807999999999983,99.9872,1990-04-17 Ohio
,38.46279069767441,0.6046511627906977,3.6046511627906974,99.72093023255812,1990-04-18 California
,14.733417721518986,0.5696202531645569,2.39240506329114,99.74683544303797,1990-04-19 Ohio
,158.2,7.0,23.6,98.4,1990-04-20 Ohio
,157.4,5.6,23.6,98.4,1990-04-21 Ohio
,164.2,10.4,23.6,98.4,1990-04-22 Ohio
,18.376799999999992,0.2466666666666666,1.746666666666667,99.92,1990-04-23 Ohio
,23.91173913043478,0.9782608695652174,3.3478260869565206,99.3913043478261,1990-04-24 California
,120.91214285714288,5.785714285714286,9.000000000000002,99.14285714285715,1990-04-25 California
,90.86777777777776,1.4444444444444446,5.185185185185184,99.70370370370372,1990-04-26 Ohio
,345.4,4.0,23.6,98.4,1990-04-27 Ohio
,169.2,7.8,23.6,98.4,1990-04-28 Ohio
,2.669909909909906,0.0216216216216216,1.2036036036036026,99.9855855855856,1990-04-29 Ohio
,35.241578947368424,2.473684210526315,3.921052631578948,99.57894736842104,1990-04-30 Ohio
,56.51962962962962,1.2222222222222223,5.185185185185184,99.70370370370372,1990-05-01 Ohio
,18.08088607594937,0.1645569620253165,2.4177215189873427,99.84810126582278,1990-05-02 Ohio
,32.46078947368421,1.1842105263157896,3.842105263157896,99.23684210526316,1990-05-03 California
,381.4,15.0,23.6,98.4,1990-05-04 Ohio
,22.20280000000001,0.4800000000000002,1.753333333333334,99.94666666666669,1990-05-05 Ohio
,465.2000000000001,8.0,23.4,97.6,1990-05-06 California
,229.2,10.6,20.4,85.0,1990-05-07 California
,193.2,13.8,21.6,90.0,1990-05-08 California
,175.2,4.4,22.0,91.8,1990-05-09 California
,34.37818181818183,0.696969696969697,4.242424242424243,99.0,1990-05-10 California
,2.471882562277578,0.1120996441281139,1.1886120996441278,99.93416370106765,1990-05-11 Ohio
,169.0,13.75,23.5,98.0,1990-05-12 Ohio
,146.75,4.0,23.5,98.0,1990-05-13 Ohio
,34.55888888888889,1.4074074074074072,4.851851851851854,98.33333333333331,1990-05-14 California
,14.429746835443044,0.5063291139240504,2.417721518987344,99.84810126582276,1990-05-15 Ohio
,47.79962962962964,1.1851851851851851,4.555555555555555,97.07407407407406,1990-05-16 Ohio
,7.2661161290322545,0.1290322580645161,1.5806451612903225,99.9483870967742,1990-05-17 Ohio
,136.5,10.25,22.5,94.0,1990-05-18 Ohio
,99.25,8.25,23.5,98.0,1990-05-19 Ohio
,158.0,18.25,23.5,98.0,1990-05-20 Ohio
,17.067906976744187,0.4418604651162791,3.0930232558139537,99.81395348837208,1990-05-21 Ohio
,276.2,14.4,20.2,84.4,1990-05-22 California
,5.039156626506025,0.0344234079173838,1.1944922547332189,99.98623063683304,1990-05-23 California
,37.63269230769231,1.0769230769230769,4.346153846153846,99.23076923076924,1990-05-24 California
,361.25,9.5,23.5,98.0,1990-05-25 California
,191.25,8.5,23.5,98.0,1990-05-26 Ohio
,160.0,0.75,23.5,98.0,1990-05-27 Ohio
,133.75,1.0,23.5,98.0,1990-05-28 Ohio
,6.520071428571437,0.1642857142857144,1.635714285714286,99.91428571428568,1990-05-29 California
,30.21192307692308,0.7307692307692306,4.384615384615385,99.3846153846154,1990-05-30 California
,10.09084745762712,0.694915254237288,2.508474576271187,99.79661016949152,1990-05-31 Ohio
,208.75,11.25,23.0,96.0,1990-06-01 Ohio
,308.75,6.5,23.5,98.0,1990-06-02 California
,428.75,7.0,23.5,98.0,1990-06-03 California
,5.998133086876152,0.0406654343807763,1.1663585951940854,99.98521256931612,1990-06-04 Ohio
,48.84615384615384,0.7692307692307694,3.807692307692308,96.96153846153848,1990-06-05 California
,182.5,9.0,20.0,83.5,1990-06-06 California
,27.71933333333332,0.9555555555555558,2.9111111111111114,99.44444444444444,1990-06-07 California
,308.75,10.25,23.25,97.0,1990-06-08 Ohio
,208.75,3.0,23.5,98.0,1990-06-09 Ohio
,4.29371621621622,0.1621621621621622,1.6148648648648645,99.97297297297295,1990-06-10 Ohio
,25.269615384615385,1.615384615384616,3.807692307692309,96.96153846153848,1990-06-11 California
,22.28342105263159,1.1842105263157896,3.2105263157894743,96.63157894736844,1990-06-12 California
,39.89583333333333,2.458333333333334,5.583333333333334,99.16666666666666,1990-06-13 Ohio
,15.6725,0.7833333333333332,2.85,99.73333333333336,1990-06-14 Ohio
,19.71086956521739,1.3260869565217392,3.3478260869565206,99.3913043478261,1990-06-15 Ohio
,4.288897058823528,0.1047794117647059,1.2058823529411775,99.97794117647058,1990-06-16 California
,129.4,2.2,23.4,97.6,1990-06-17 Ohio
,188.4,8.8,22.4,93.4,1990-06-18 Ohio
,46.59296296296296,1.3703703703703705,5.14814814814815,99.55555555555556,1990-06-19 California
,226.4,13.2,22.6,94.4,1990-06-20 California
,28.63128205128205,0.9743589743589746,3.384615384615384,97.66666666666669,1990-06-21 California
,11.297616766467073,0.3293413173652696,1.574850299401198,99.52694610778448,1990-06-22 Ohio
,298.4,15.2,23.4,97.6,1990-06-23 California
,259.4,7.2,23.4,97.6,1990-06-24 California
,90.28148148148148,1.3333333333333333,5.148148148148149,99.55555555555556,1990-06-25 California
,42.87633333333333,0.3666666666666666,2.716666666666667,99.16666666666664,1990-06-26 Ohio
,58.68529411764708,0.8627450980392155,3.1372549019607856,99.52941176470588,1990-06-27 California
,6.474110320284693,0.0943060498220642,1.201067615658362,99.98576512455516,1990-06-28 Ohio
,217.2,10.4,23.2,96.8,1990-06-29 Ohio
,228.2,3.6,23.6,98.4,1990-06-30 California
,185.2,2.0,23.8,99.2,1990-07-01 Ohio
,57.09814814814813,2.296296296296297,5.222222222222222,99.85185185185183,1990-07-02 Ohio
,291.2,12.6,23.4,97.6,1990-07-03 California
,8.15502994011976,0.0718562874251497,1.6766467065868256,99.95209580838322,1990-07-04 California
,55.46666666666667,2.0,5.666666666666668,99.5,1990-07-05 California
,281.2,3.0,23.6,98.4,1990-07-06 Ohio
,125.2,9.0,23.6,98.4,1990-07-07 Ohio
,147.2,7.4,23.6,98.4,1990-07-08 Ohio
,15.605822784810137,0.7468354430379747,2.430379746835444,99.89873417721518,1990-07-09 California
,4.584650406504069,0.05420054200542,1.1531165311653104,99.98915989159892,1990-07-10 California
,53.17078947368421,0.7105263157894738,3.973684210526316,99.7894736842105,1990-07-11 California
,55.90555555555554,1.5925925925925926,4.814814814814815,98.14814814814817,1990-07-12 California
,261.2,17.2,21.4,89.2,1990-07-13 California
,203.2,3.8,23.6,98.4,1990-07-14 California
,100.2,1.2,23.6,98.4,1990-07-15 California
,6.524331983805669,0.271255060728745,1.4574898785425106,99.9676113360324,1990-07-16 California
,23.191538461538457,1.0769230769230769,3.871794871794872,99.69230769230768,1990-07-17 Ohio
,190.2,11.0,23.4,97.6,1990-07-18 California
,42.56703703703703,1.7407407407407411,5.0740740740740735,99.25925925925924,1990-07-19 California
,186.2,5.6,22.8,95.0,1990-07-20 California
,161.2,2.6,23.6,98.4,1990-07-21 California
,1.8905098039215704,0.0326797385620915,1.1477124183006533,99.98954248366014,1990-07-22 Ohio
,146.2,9.4,23.6,98.4,1990-07-23 California
,34.81740740740741,1.7407407407407407,5.14814814814815,99.55555555555556,1990-07-24 California
,11.733892617449666,3.1610738255033555,1.718120805369128,58.906040268456366,1990-07-25 California
,11.39796296296296,4.194444444444445,2.0462962962962954,43.53703703703703,1990-07-26 California
,14.362818181818191,5.927272727272728,2.0000000000000004,16.772727272727277,1990-07-27 Ohio
,10.42352941176471,0.0484429065743944,1.391003460207613,99.9723183391004,1990-07-28 California
,243.2,6.6,23.6,98.4,1990-07-29 Ohio
,12.660757575757575,5.204545454545453,1.8560606060606075,30.734848484848506,1990-07-30 California
,16.93668965517242,5.979310344827586,1.7517241379310344,15.827586206896552,1990-07-31 Ohio
,13.6188785046729,4.16822429906542,2.0186915887850474,42.85981308411216,1990-08-01 California
,11.929382716049382,5.666666666666666,2.1851851851851856,23.85185185185184,1990-08-02 California
,2.548664343786295,0.5238095238095238,1.1033681765389076,92.91289198606272,1990-08-03 Ohio
,150.25,7.0,18.0,75.0,1990-08-04 Ohio
,163.66666666666666,16.0,23.33333333333333,97.33333333333331,1990-08-05 Ohio
,9.29939393939394,5.181818181818183,1.6439393939393936,29.8560606060606,1990-08-06 California
,9.671237113402062,5.000000000000001,1.9072164948453607,36.06185567010309,1990-08-07 California
,7.468655462184873,3.983193277310923,1.7226890756302518,48.62184873949583,1990-08-08 California
,6.3883313253012055,0.1174698795180723,1.2349397590361435,99.539156626506,1990-08-09 California
,197.75,8.0,23.5,98.0,1990-08-10 Ohio
,207.75,8.5,23.5,98.0,1990-08-11 Ohio
,207.75,12.25,23.5,98.0,1990-08-12 Ohio
,179.0,3.0,16.75,69.75,1990-08-13 Ohio
,298.2,9.8,19.2,80.0,1990-08-14 California
,4.4276923076923005,0.0378096479791395,1.1408083441981751,99.96349413298556,1990-08-15 California
,29.8195,0.8500000000000001,3.400000000000001,98.05,1990-08-16 California
,227.2,10.6,22.0,91.8,1990-08-17 California
,188.2,10.4,23.6,98.4,1990-08-18 Ohio
,168.2,8.4,23.6,98.4,1990-08-19 Ohio
,32.3404,1.2799999999999996,3.16,99.42,1990-08-20 California
,10.185330935251796,0.2374100719424461,1.3525179856115104,99.74820143884897,1990-08-21 California
,39.976153846153856,0.7692307692307694,4.346153846153847,99.23076923076924,1990-08-22 Ohio
,23.487894736842104,1.1842105263157894,3.31578947368421,97.07894736842104,1990-08-23 California
,169.0,5.25,23.5,98.0,1990-08-24 California
,165.25,9.25,17.5,73.0,1990-08-25 Ohio
,240.0,4.0,23.5,98.0,1990-08-26 Ohio
,2.945495356037151,0.0464396284829721,1.0696594427244586,99.9938080495356,1990-08-27 California
,19.456,0.2285714285714286,2.2857142857142856,99.88571428571429,1990-08-28 Ohio
,267.5,5.5,21.5,90.0,1990-08-29 California
,14.444324324324333,5.89189189189189,2.2162162162162167,17.594594594594593,1990-08-30 California
,155.33333333333334,9.666666666666666,19.666666666666668,82.0,1990-08-31 Ohio
,143.66666666666666,13.0,23.33333333333333,97.33333333333331,1990-09-01 Ohio
,7.142937106918246,0.2138364779874214,1.2106918238993716,99.97484276729564,1990-09-02 Ohio
,194.0,11.333333333333334,23.33333333333333,97.33333333333331,1990-09-03 Ohio
,203.66666666666669,6.333333333333333,23.33333333333333,97.33333333333331,1990-09-04 California
,14.128909090909094,0.672727272727273,2.2181818181818183,99.85454545454544,1990-09-05 Ohio
,78.90466666666666,3.533333333333334,6.266666666666667,96.4,1990-09-06 California
,46.38410256410256,0.8974358974358974,3.230769230769232,99.48717948717946,1990-09-07 Ohio
,4.355184579439242,0.0420560747663551,1.1051401869158874,99.99065420560748,1990-09-08 Ohio
